Combined P&L - Generated 2025-03-11 17:23:53,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Year,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7
,,,,,,,
Location Counts,,,,,,,
Acquired Locations by Maturity Year,,,,,,,
Year 1 Maturity,2,1,1,1,2,3,3
Year 2 Maturity,0,2,1,1,1,2,3
Year 3 Maturity,0,0,2,1,1,1,2
Year 4 Maturity,0,0,0,2,1,1,1
Year 5 Maturity,0,0,0,0,2,1,1
Year 6 Maturity,0,0,0,0,0,2,1
Year 7 Maturity,0,0,0,0,0,0,2
,,,,,,,
Grown Locations by Maturity Year,,,,,,,
Year 1 Maturity,0,2,2,2,3,4,5
Year 2 Maturity,0,0,2,2,2,3,4
Year 3 Maturity,0,0,0,2,2,2,3
Year 4 Maturity,0,0,0,0,2,2,2
Year 5 Maturity,0,0,0,0,0,2,2
Year 6 Maturity,0,0,0,0,0,0,2
Year 7 Maturity,0,0,0,0,0,0,0
,,,,,,,
Total Locations,2,5,8,11,16,23,31
