Services Matrix,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
NOTE: Final combined numbers are from A58:R68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pricing for each individual service,Basic,,,Enthusiast,,,Luxury,,,,,,,,,,,,,,,,,,,,,,,,,
,New Home Build,Renovation,Smaller Improvement,New Home Build,Renovation,Smaller Improvement,New Home Build,Renovation,Smaller Improvement,,,,,,,,,,,,,,,,,,,,,,,
Hardware Revenue,8610.44,5099.5,464.93,41213,16874,4799.5,647919,140913,5850,,,,,,,,,,,,,,,,,,,,,,,
Hardware COGS,7060.6652,4136.385,382.8931,32741.89,13338.85,3820.965,511897.93,107488.49,4830,,,,,,,,,,,,,,,,,,,,,,,
Labor Hours,45.5,48,9.36,282.4,71,37,429,350.8,0,,,,,,,,,,,,,,,,,,,,,,,
Labor Revenue,5687.5,6000,1170,35300,8875,4625,53625,43850,0,,,,,,,,,,,,,,,,,,,,,,,
Labor Internal COGS,4095,4320,842.4,25416,6390,3330,38610,31572,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,3142.2748,2643.115,409.6369,18355.11,6020.15,2273.535,151036.07,45702.51,1020,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired - Basic Tier Only,,,,,,,,,,Grown - Basic  Tier Only,,,,,,,,,,,,,,,,,,,,,,
,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,,,,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,,,,,,,,,,,,,,,
Basic Hardware Revenue,10168.06375,32029.40081,61394.90569,42362.48492,50834.98191,61001.97829,73202.37395,,,Basic Hardware Revenue,20336.1275,32029.40081,35232.34089,40517.19203,48620.63043,58344.75652,70013.70782,,,,,,,,,,,,,,,
Basic Hardware COGS,8311.494263,26181.20693,47998.87937,33119.22676,39743.07211,47691.68654,57230.02385,,,Basic Hardware COGS,17369.91495,27357.61605,30093.37765,34607.3843,41528.86116,49834.63339,59801.56007,,,,,,,,,,,,,,,
Basic Hardware Margin,1856.569488,5848.193886,13396.02632,9243.258162,11091.90979,13310.29175,15972.3501,,,Basic Hardware Margin,2966.21255,4671.784766,5138.963243,5909.807729,7091.769275,8510.12313,10212.14776,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Labor Hours,74.655,235.16325,431.132625,297.4815113,356.9778135,428.3733762,514.0480514,,,Basic Labor Hours,149.31,235.16325,258.679575,297.4815113,356.9778135,428.3733762,514.0480514,,,,,,,,,,,,,,,
Basic Labor Revenue,9331.875,29395.40625,53891.57813,37185.18891,44622.22669,53546.67203,64256.00643,,,Basic Labor Revenue,18663.75,29395.40625,32334.94688,37185.18891,44622.22669,53546.67203,64256.00643,,,,,,,,,,,,,,,
Basic Labor Internal COGS,6718.95,21164.6925,38801.93625,26773.33601,32128.00322,38553.60386,46264.32463,,,Basic Labor Internal COGS,13437.9,21164.6925,23281.16175,26773.33601,32128.00322,38553.60386,46264.32463,,,,,,,,,,,,,,,
Basic Labor Margin,2612.925,8230.71375,15089.64188,10411.85289,12494.22347,14993.06817,17991.6818,,,Basic Labor Margin,5225.85,8230.71375,9053.785125,10411.85289,12494.22347,14993.06817,17991.6818,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
